group,subgroup,caresettingprincipal,codecat,codetype,code,t1_index,t2_index,t2_fup,t3_index,t3_fup,t4_index,t4_fup,rawlabdatetype,rawlabresult,codesupply
pregnant,delivery,'IP*',DX,09,65531,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65541,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65551,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65561,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65571,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65581,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65591,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65601,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65611,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65621,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65631,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65641,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65651,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65661,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65671,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65681,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65691,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65701,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65801,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65811,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65821,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65831,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65841,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65881,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65891,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
